"Informazioni cronologiche","Genere:","Età","Paese di provenienza","In che gruppo etnico ti identifichi?","Qual è la tua religione?","Sei mai stato vittima di episodi di razzismo?","Ti consideri femminista?","Cosa pensi dei concetti di ""genere"" e ""disuguaglianza di genere""?","Pensi che il velo indossato dalla maggior parte delle donne musulmane sia un simbolo di sottomissione?","Pensi che il velo indossato dalle suore cattoliche sia un simbolo di sottomissione?","Puoi motivare la tua risposta alle due domande precedenti?","Alcuni gruppi femministi moderni usano la nudità per protestare contro il patriarcato e per dimostrare l'indipendenza femminile. Qual è la tua opinione a riguardo?","Pensi che il femminismo sia mai stato usato o  possa essere usato dalle potenze occidentali per giustificare i propri interessi nazionalistici, imperialistici ed economici?","Conosci i termini ""Femminismo bianco"" e ""Femminismo transnazionale""?","Ti senti rappresentata dal femminismo di oggi?"
"2020/05/23 4:52:47 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","Sì","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","In ambedue i casi è una SCELTA, ergo non lo considero sottomissione","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Sì, completamente"
"2020/05/23 5:03:42 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Trovo che sia questione di scelta, ho conosciuto e conosco molte musulmane che hanno scelto di non portarlo o portarlo, ovvio poi che se vai in un paese musulmano tutte le donne avranno il velo esattamente come se entri in un convento e trovi tutte le suore con. Io la considero cultura e scelte religiose non sottomissione sia per le suore che per le musulmane. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","No","Assolutamente no"
"2020/05/23 8:20:40 PM EET","Femmina","50-69","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","Anche se spesso le donne o le suore che indossano il velo pensano che sia una loro scelta, secondo me è una forma di controllo imposta dal mondo patriarcale","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Sì, completamente"
"2020/05/23 8:48:43 PM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","No","Credo che ad oggi in molte realtà la decisione di indossare il velo non dipende dalla ragazza in sè, ma dalla cultura imposta dalla società in cui vive e quindi anche dalla famiglia, non è quindi vista come possibilità ma come unica cosa giusta da fare, per quanto invece riguarda le suore è una decisione che si basa solo sulla loro volontà e non dalla società o dalla cultura della famiglia","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 8:52:01 PM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Le donne musulmane sono obbligate ad utilizzare il velo, ci sono donne a cui sta bene, ma se una donna non volesse indossarlo comunque sarebbe costretta... Lo stesso non si può dire di una suora. ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","No",""
"2020/05/23 8:56:40 PM EET","Maschio","18-29","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Non lo so","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 9:04:09 PM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Dipende perché lo fanno, se veramente pensano che sia giusto portarlo o meno,se sono obbligate o cose del genere","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 9:10:13 PM EET","Maschio","18-29","Albania","Bianco","Non sono religiosa/o","Non lo so","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","No","Le donne musulmane che tengono il velo hanno avuto fin da piccole una famiglia che le ha inculcato nella testa questo uso e se fissi nella testa di un bambino di fare una cosa in un determinato modo poi da grande le sembrerà normale se non persino un dovere... ma se fossero libere fin da piccole, come nel caso italiano, di andare a catechismo o meno, allora sono quasi sicuro del 100% che nessuna di loro lo terrebbe o comunque una minima percentuale ","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 9:13:20 PM EET","Femmina","0-17","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","A volte la fede viene imposta dai genitori, mentre si sceglie di essere una suora (almeno per i tempi attuali)","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","No","Parzialmente"
"2020/05/23 9:17:41 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Dipende","Entrambe possono scegliere se mettere il velo oppure no","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 9:18:54 PM EET","Femmina","0-17","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Dipende","Varia in base alla scelta che le donne fanno e al significato che gli danno","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","No","Parzialmente"
"2020/05/23 9:19:13 PM EET","Femmina","18-29","Italy","Bianco","Preferisco non dirlo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Non sono un simbolo di sottomissione del genere femminile a quello maschile, tant’è vero che in alcuni paesi musulmani anche gli uomini si coprono la testa. È un simbolo di modestia, uno dei principi alla base della religione musulmana. La maggior parte delle donne musulmane prende autonomamente la decisione di indossare o meno il velo. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 9:23:23 PM EET","Femmina","0-17","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","A volte la fede viene imposta dai genitori, mentre si sceglie di essere una suora (almeno per i tempi attuali)","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","No","Parzialmente"
"2020/05/23 9:28:26 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","Sì","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","credo che sia specialmente una scelta, non sono una persona religiosa, ma immagino che se fossi cattolica vorrei avere un crocifisso o un piccolo rosario, o magari pregherei. Allo stesso modo una donna musulmana sceglie di indossare l'hijab e non dovrebbe essere discriminata per questo ","credo che qualunque modo non violento di manifestare per una causa sia accettabile. Tuttavia per quanto riguarda lo specifico caso a volte ho l'impressione che sia poco utile ai fini che si vogliono raggiungere, e in maniera ancora più ampia credo che se anche persone che non appartengono alla causa (es. bianchi nel caso del razzismo o etero nel caso dell'omofobia o uomini nel caso del femminismo) cambierebbero molte carte sul tavolo. questo sì che sarebbe d'impatto","Non lo so","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 9:28:48 PM EET","Femmina","18-29","Albania","Bianco","Non sono religiosa/o","Non lo so","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Parzialmente"
"2020/05/23 9:36:36 PM EET","Maschio","18-29","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","Decidono loro come si vestono e cosa indossare","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","No",""
"2020/05/23 9:39:32 PM EET","Femmina","18-29","Albania","Bianco","Non sono religiosa/o","Sì","Non lo so","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","Sono devote a qualcuno che ergono sopra di loro","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono","Parzialmente"
