"Informazioni cronologiche","What is your gender?","How old are you?","Where are you from?","Which ethnic group do you identify with?","What is your religion?","Have you ever experienced any form of racism?","Do you consider yourself a feminist?","What do you think about gender inequality?","Do you think that the veil that most Muslim women wear is a symbol of submission?","Do you think that the veil that Catholic nuns wear is a symbol of submission?","Could you briefly explain your answer to the previous two questions? ","Some modern feminist movements use nudity to protest against patriarchy and to show the independence of women.  What is your opinion about it?","Do you think that feminism has ever been used or could be used by Western powers as a justification for their nationalistic, imperialistic and economic purposes?","Are you familiar with the terms ""White feminism"" and ""Transnational feminism""?","Do you feel represented by today's feminism? "
"2020/05/23 8:46:59 PM EET","Male","18-29","United States","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I don’t have much contact with these women so I don’t know for sure how they feel personally about the veils that they wear, but I think that if the women don’t want to wear them then they don’t have to. They still have the choice to wear what they want to wear and to not wear what they don’t want to wear. Yes, there may be consequences if some of these women don’t wear these veils, but I believe if they really don’t want to then they wouldn’t as a sign of protest. So I don’t believe that they are a symbol of submission.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/23 9:38:17 PM EET","Female","18-29","Italy","White","Not religious","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","Yes","It depends on the choice behind the decision of using the veil","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 9:38:38 PM EET","Female","18-29","Italy","White","Not religious","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It depends on whether they have chosen it or if their environment /family have","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 9:38:39 PM EET","Male","18-29","Ukraine","White","Christian (Protestant)","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","Snoopdogg","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/23 9:39:26 PM EET","Male","18-29","Jordan","Arab","Muslim","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","I don't know","I am muslim and my answer was that it depends because some people in my culture force their women to put it while others leave it to them.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No",""
"2020/05/23 9:41:46 PM EET","Male","18-29","Colombia","Latino","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","I think that in both cases, to preserve yourself for a man or a deity, hinders anyone's capability of free independent development as humans, and enslaves people to religious ideas that take power away from them","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 9:44:46 PM EET","Male","18-29","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","Some societies/religions have standards for what a person should wear. An individual may be overtly forced to wear religious garb or may willingly choose to wear religious garb. The willingness may be motivated by external influences, rather than isolated, internal influences.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/23 9:45:24 PM EET","Male","18-29","Colombia","Latino","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","In both cases, men want to hide women from the public ","I don't know","No, I don't see how this could happen","No",""
"2020/05/23 9:49:13 PM EET","Female","18-29","Turkey","White","Muslim","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/23 9:57:41 PM EET","Female","18-29","Georgia","White","christian orthodox","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 9:57:44 PM EET","Female","18-29","Macedonia","White","Christian (Protestant)","No","Yes","I don't know","No","Yes","Long anwser","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","Yes, I know exactly what they are","Partially"
"2020/05/23 9:58:43 PM EET","Female","18-29","Italy","White","Not religious","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","The veil is a symbol of submission only if she's forced and nouns decides to wear veil when they decide to take religious votes ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 10:00:41 PM EET","Female","18-29","Moldova","White","Christian (Protestant)","I don't know","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","","I don't know","No","Partially"
"2020/05/23 10:02:46 PM EET","Female","18-29","Greece","White","Not religious","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","I don't know","I don't know","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","I might have heard of them but I don't really know what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/23 10:04:53 PM EET","Male","30-49","Italy","White","Not religious","No","No","I don't know","It depends","It depends","it depends if the veil is forced to be worn ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","No","No"
"2020/05/23 10:05:13 PM EET","Male","18-29","Ecuador","Latino","Not religious","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","It’s an exclusion of the involved party (i.e. women) in the discussion; it is an imposition by the religion.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/23 10:07:03 PM EET","Female","30-49","Colombia","Latino","Greek Orthodox ","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","The Muslim were them because the veil has been used as a way of curbing male sexual desire. and Catholic nuns it as a way demonstrating their submission to God.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","No"
"2020/05/23 10:08:24 PM EET","Female","18-29","Turkey","White","Not religious","Yes","I don't know","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/23 10:09:33 PM EET","Female","18-29","Colombia","Latino","Roman Catholic","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","No","En la primera depende desde la perspectiva en que se vea. No soy de esa religión y no conozco a nadie de ella  pero es entender si ellas lo consideran sumisión.

En la segunda, he tenido la oportunidad de hablar con religiosas y ellas no lo sienten como un tipo de sumisión. 

Depende de cómo lo tomen ellas. No se puede juzgar desde otra cultura. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","No"
"2020/05/23 10:12:14 PM EET","Male","18-29","Italy","Latino","Not religious","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/23 10:13:05 PM EET","Male","18-29","Colombia","Latino","Roman Catholic","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","Because they are wearing a Hijab as part of their culture and identity and it's their decision to do so","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","Yes, I know exactly what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/23 10:14:25 PM EET","Male","18-29","Colombia","Latino","Not religious","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","No","No","because i think they wear the veil for religion reasons, symbolism they beliefs and cultures ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/23 10:22:21 PM EET","Male","18-29","Canada","Asian","Roman Catholic","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It depends upon female agency, as it stands it's often due to oppression, but it doesn't mean it'll always be that way","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","No"
"2020/05/23 10:23:01 PM EET","Female","30-49","Colombia","Latino","Roman Catholic","Yes","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","
Everyone has their rights to do, think or believe in wherever they wanted to. I don't think anyone can be judge for what they believe or act according to their religion. Religion for me is a personal choice  and it’s determined by your cultural environment. So the best way to assume that, it is doing what you think is right without judging others and accepting others as they are or what they wanted to be. Be and let it be! ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","No"
"2020/05/23 10:27:33 PM EET","Male","30-49","Afghanistan","Prefer not to say","Prefer not to say","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","They are just good modest women, they are not sluts dressing in hooker clothes","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","Yes, I know exactly what they are",""
"2020/05/23 10:32:55 PM EET","Female","18-29","Slovakia","White","Christian (Protestant)","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 10:37:23 PM EET","Female","18-29","Colombia","Latino","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","The submission of a culture depends on its beliefs and customs. The culture that has its own customs wouldn’t think that those requirements are submission, however, from the perspective of another culture it might be submission .  ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/23 10:38:19 PM EET","Male","18-29","Morocco","Arab","Muslim","I don't know","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","Depends on their take on their religion, if its symbolic for the sacrifices chosen to please a certain Deity of their religion, then they have chosen that path willingly, but if you view it as a way of controlling the liberty of these women then its oppression.","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","Yes, I know exactly what they are",""
